meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,detailed_agendas,agendas,parties,url,is_true_gap,notes
1989,ATCM,15,ATCM XV,wp,56,0,Historic monuments,10c(v),ATCM 10,Chile,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/8/e/7/8e7696ca15a0bd293b4b9a3742c32be07d49b28fa14409d39286ca9d719405d1/ea5276da-200a-4563-bfda-65642f336ec5-AU-ATADD-3-BB-AQ-124.pdf ,FALSE,"paper_name, parties from list_of_docs_1989.pdf | no agenda on WP front page | agenda by reading WP and FR by hand"
1989,ATCM,15,ATCM XV,wp,62,,,,,,,TRUE,Marked “missing” in list_of_docs_1989.pdf
1991,ATCM,16,ATCM XVI,wp,7,,,,,,,TRUE,Empty and marked with question mark and “Not issued” in list_of_docs_1991.pdf
1991,ATCM,16,ATCM XVI,wp,46,,,,,,,TRUE,"From list_of_docs_1991.pdf: “this paper not formally ciculated: the text of it appears in WP57 as the Annex on area protection and management"""
1995,ATCM,19,ATCM XIX,wp,1,0,Measures adopted under Article IX of the Antarctic Treaty,8c,ATCM 8,Belgium | Chile | France | Germany | United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/a/2/f/a2f53f68032cf6c3d0f4e5875c5f8a4ecfcb4d8ef163bd5ccc6518df95fe15a6/4b386adb-f37b-4fe2-a794-674f35600230-AU-ATADD-3-BB-AQ-468.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,2,0,Inspections under the Antarctic Treaty inspection checklists,9b,ATCM 9,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/3/9/1/3914a91efaaf607c051cf5c639e856a256c1c71b4f39bd753667c24a2829ce41/042b4b08-0f5a-49cd-892d-7f5b098f1ee7-AU-ATADD-3-BB-AQ-469.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,3,0,Environmental Impact Assessment: Circulation of Information,11a,ATCM 11,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/e/8/6/e86327d2ea1d8c9b01522d0dcf86c27ccb8189bef9f68bad2b607f3a5ffacdfc/193246f6-cc4f-4e12-b6ff-51722615a4a1-AU-ATADD-3-BB-AQ-470.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,3,1,Environmental Impact Assessment: Circulation of Information,11a,ATCM 11,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/e/8/6/e86327d2ea1d8c9b01522d0dcf86c27ccb8189bef9f68bad2b607f3a5ffacdfc/193246f6-cc4f-4e12-b6ff-51722615a4a1-AU-ATADD-3-BB-AQ-470.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from previous Rev. 0"
1995,ATCM,19,ATCM XIX,wp,4,0,Draft Measure: Antarctic Protected Area System: New historic sites and monuments,12b,ATCM 12,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/8/2/5/825732884aba2b17362c0fc766177c778876728a80a5d2cb5e133953303798c6/1e9c700d-a872-4236-9c8c-cb513f0379dd-AU-ATADD-3-BB-AQ-471.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
1995,ATCM,19,ATCM XIX,wp,5,0,Antarctic protected area system—specially protected areas revised descriptions and proposed management plans for specially protected areas Moe Island and Southern Powell Island and adjacent islands,12a,ATCM 12,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/b/6/f/b6ff98970a8ee0fa53da53c29efd6071725a1eb578a95c066a81c0fdf3cad83e/e00196a1-a983-424e-8ef5-e9dba37f351c-AU-ATADD-3-BB-AQ-472.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from WP front page"
