meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,detailed_agendas,agendas,parties,url,is_true_gap,notes
1995,ATCM,19,ATCM XIX,wp,35,0,Draft final report of the XIX ATCM,20,ATCM 20,Korea (ROK),https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/4/0/3/403f1a991368640c791a4b4d139d15f7f518d5928c72cb8819dabee9f7c63452/a21c2630-88a0-4bcf-9959-630d8f935bb8-AU-ATADD-3-BB-AQ-502.pdf ,FALSE,"paper_revision, paper_name, parties from list_of_docs_1995.pdf and list_of_docs_1995.txt | agendas from FR par. 233 | change parties ‘secretariat’ to host country Korea to match ATS database"
1998,ATCM,22,ATCM XXII - CEP I,wp,9,0,Translation and Interpretation Services for the Working Group of Legal Experts on Liability,18,ATCM 18,France,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/6/1/b/61b2349c4f172eb182b47a0ce35f8b6e0c63039d39d1faf1c73824a5b6104f62/8df167aa-d1f7-4e6c-8dd9-f302ec77edef-AU-ATADD-3-BB-AQ-568.pdf ,FALSE,"paper_name, paper_revision, agendas from WP front page"
1998,ATCM,22,ATCM XXII - CEP I,wp,28,0,Antarctic Treaty Secretariat,5c,ATCM 5,Argentina,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/2/c/9/2c9301a86dfd59afabbc56d8f70ffd06131d203482d1c47e013f843ae208b4d5/39bb817b-55fb-459f-9ed6-b48ebb3f3ff7-AU-ATADD-3-BB-AQ-569.pdf,FALSE,Pencilled-in list_of_docs_1998.pdf | Found in ATAAD and saved 39bb817b-55fb-459f-9ed6-b48ebb3f3ff7-AU-ATADD-3-BB-AQ-569.pdf
2001,ATCM,24,ATCM XXIV - CEP IV,wp,1,0,Working practices and procedures of the Consultative Meetings and their Working Groups,ATCM 4,ATCM 4,Germany,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,3,0,Inspecciones en el marco del Articulo VII del Tratado Antártico (Inspections under Article VII of the Antarctic Treaty),ATCM 14,ATCM 14,Argentina,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,6,0,"Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty ""Prevention of Damage, Contingency Planning and Liability for Failure to Provide for Emergency Response Action""",ATCM 10,ATCM 10,United States,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,8,0,"Antarctic Protected Areas System: Revised Management Plans for:
- Specially Protected Area No 8 – Dion Islands, Marguerite Bay
- Specially Protected Area No 9 – Green Island, Berthelot Islands
- Site of Special Scientific Interest No 29 – Ablation Point / Ganymede Heights, Alexander Island
- Site of Special Scientific Interest No 31 – Mount Flora, Hope Bay
with attachments (totally: 1+4 docs+10 maps=15)",CEP 4g,CEP 4,United Kingdom,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,17,0,"Chairman's Draft of the Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty ""Liability arising from environmental emergencies""",ATCM 10,ATCM 10,New Zealand,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,18,0,"Status of Recommendations, Measures, Decisions and Resolutions of the ATCM",ATCM 4,ATCM 4,Netherlands,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,27,0,"Russian studies of the Antarctic 2000 under the Subprogram ""Study and Research of the Antarctic""",ATCM 15,ATCM 15,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,28,0,"Proposal on creating a four-language explanatory glossary of the terms , definitions and abbreviations used in the Antarctic Treaty Documentation",ATCM 20,ATCM 20,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,30,0,Classification of the Antarctic Zone of the Southern Ocean Based on Ice Navigation Conditions,ATCM 11,ATCM 11,Russian Federation,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,35,0,ATCM Secretariat,ATCM 4,ATCM 4,New Zealand | Italy,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2001,ATCM,24,ATCM XXIV - CEP IV,wp,36,0,Proyecto de Medida para la creación de la Secretaria del Tratado Antartico (Draft Measure for the creation of the Antarctic Treaty Secretariat),ATCM 4,ATCM 4,Argentina | Brazil | Chile | Peru | Uruguay,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
2002,ATCM,25,ATCM XXV - CEP V,wp,24,0,CEP and information exchange,CEP 8a,CEP 8,Norway,,FALSE,"paper_name, agendas, parties from list_of_docs_2001.pdf | converted to text using Claude list_of_docs_2001.csv | not avail in ATS nor ATAAD"
